,tweet,valoracion
193,"video quality sucks and i dont know how i did it but uwu
also that malphite almost steals it from me",0
194,found out i have to fight malphite to ascend xiao im gonna eat dry wall,0
195,People that play Malphite mid don't deserve rights,0
196,@whynotbefriends @DrewDozer Wtf nidalee spear almost one shot from max range???,1
197,@seductivc Nidalee is just gonna leave some hot chocolate and a plate of cookies outside Ahri's door before very sl… https://t.co/5oyTsuwpCv,1
198,@RossBoomsocks insane Warwick healing https://t.co/zUWSl6RBxO,1
199,WARWICK ON TFT IS OP.,1
200,@Juliandroid98 @uninstalon Listen. Fiora and darius are imho 2 of the most fuck you picks in the toplane. However i… https://t.co/ay8JkDnTAn,0
201,The dragon form of shyvana was a sight to behold hehe https://t.co/R87eHKG1oG,1
202,@PT_CROW Now THAT'S a shyvana skin I can get behind,1
203,Make Shyvana AD great again,0
204,shyvana do gaming too! https://t.co/Ya6bKWaXKx,1
205,@wildrift Wild rift nerf shyvana she still tough once shyvana get 3 kills she so tough without building armor nerf her balance the game,1
206,@vivisbarbie @shyvana not getting a skin for almost 5 years,0
207,"It was a pretty good match and they surrendered so fast hehe 
#LeagueOfLegends #Shyvana https://t.co/1GdHDziPjU",1
208,@KrisHeyden When are you pulling out the shyvana top?,1
209,"@PT_CROW @JumaraloHexCore But that's beside the point, they should rework shyvana and j4 and give em matching attire plz.",0
210,I don't know when will be but I hope Shyvana to wear Demacian-like costume one day https://t.co/upDMtr3crz,1
211,finished my shyvana runes https://t.co/QTl0MLFpSH,1
212,@LeagueOfLegends where is the rework of shyvana bro,0
213,"@PT_CROW  ever tried to redesign shyvana ? 
Dew it please.
PS happy new year",0
214,"@VOLUCREM Interesting.

Shyvana got naught for herself but had a gift for the Assassin? A selfless act that only re… https://t.co/4pTCrtkqUS",0
215,@Qiyanarbz I heard they were gonna give skins to more characters that don't have a lot/or haven't had one in a long… https://t.co/jkIvThoAgw,0
216,@LeagueOfLegends Shyvana. Don't rework her please  - ,1
217,Shyvana might be my second favorite character in league,1
218,"@wildriftNEWS Please weaken shyvana, because her strength has affected the balance of the game",0
219,"@darksummertime8 @MarkYetter ""We need more Lux and Morgana skins.""

We need less Lux skins and more focus on champs… https://t.co/vMEMdI4U4W",1
220,poor shyvana truly got it https://t.co/YJJAlcWPi2,0
221,@SnekerDoodles Exactly. Tbh I’d rather have her Full AD. AD Brusier Shyvana is and was way more fun,1
222,"Very excited for Shyvana’s rework in 2021. I just hope and pray she doesn’t have a recycled kit, or become a stat check champion",1
223,"Y'all want peace in 2021? I want MESS, CHAOS and CONFUSION 
and a Shyvana skin",1
224,@Iadymeyneth @ThePotatoWard @LeagueOfLegends Well Shyvana is getting a rework so maybe after that a new skin,1
225,@ThePotatoWard @LeagueOfLegends Shyvana forgotten. Cmon riot let’s get this done,0
226,"@HowlerNofelle @notallwitches No. I nees next 15 and 20 more for aphelios and 20 more for yone, talon, kayn, varus, vladimir and Sett",1
227,@iamJayrad @LSXYZ9 Also reason to nerf Aphelios till he got useless,0
228,"Started 3D modeling, planning to do Aphelios at some point but thats for my first one =,v= 

#render #Zbrush… https://t.co/rnknBayjYn",1
229,@LionHeartz17 @Toast_LoL_ @MarkYetter Aphelios does negative damage and he can't build eclipse. Varus can build ecl… https://t.co/L8htr9Yzef,0
230,"@Den4zu @UnusualQuantity @parallexmin @LSXYZ9 Main issue with aphelios wasn't the champ itself, but how broken Death's dance was on ranged",0
231,"@UnusualQuantity @parallexmin @LSXYZ9 Yeah for sure, I just assumed he was talking about when aphelios was broken.",0
232,"@parallexmin @LSXYZ9 no, aphelios was just giga broken lol",1
233,"Aphelios - Holy shit. He seems difficult to play but not like, fun difficult? Like frustrating difficult.",0
234,next PBE is Aphelios' time to shine I can feel it in my bones I can feel i- https://t.co/DZubfEhS7N,1
235,Also yes I played Aphelios all 3 games. I'm a BIG fan.,1
236,"@Pobelter Aphelios' team in all chat: ""adc diff""",0
237,@jhinmain44 Aphelios is weak atm,0
238,manifesting sett and aphelios in the next cinematic please just have them look at each other please bro plwa,1
239,@LeagueOfLegends i play aloth of aphelios this year,1
240,@LAzuralie @Toast_LoL_ @MarkYetter I thnk aphelios and varus is in a pretty rough spot too rn,0
241,@LeagueOfLegends Aphelios in the cinematic and i will literally die,1
242,"@LeagueOfLegends Give us, high noon aatrox and pantheon, blood moon yone, samira and Lilia, and legendary skin for… https://t.co/n1G84cCi2o",1
243,at this point i only play league for Aphelios and K/DA,1
244,APHELIOS LOOKS SO SOFT IN THE NEW YEARS LEAGUE ART IM CRYING https://t.co/X8l5cx9aRQ,1
245,looking for the nightbringer soraka to my nightbringer aphelios,1
246,@itscockroachbb I can do aphelios bottom if you want to duo but idk how to jungle at all 😭,1
247,aphelios ur shoulderes look so hevay would u like mme to massage thenm for yuo,1
248,"me: aphelios is looking really fun, i really want to try him
me 5 games of being oneshotted later: https://t.co/oQvzeW4vFN",0
249,APHELIOS QUADRAKILL ( RANKED) https://t.co/2WYJ98Gnb6 via @YouTube,1
250,My last champ of 2020 and first of 2021 was aphelios. I am a support main https://t.co/vdI4uWZDyA,1
